"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"James White","NE","14","RB","47","40","1","410","1","4","0","3","85.1","2.43","8.72","10.25","8.6","","","","","","","","","","","","22","0","56","0","2","0","2.55","1.05","1","0.05","0","","","","","","","","","0","0","122.6","0.42","1.98"
"De'Anthony Thomas","KC","10","RB","21","17","0","140","0","1","0","1","81","0.29","6.67","8.24","9.12","","","","","","","","","","","","9","0","34","0","1","0","3.78","1","1","0.11","0","","","","","","","","","0","0","46.4","0.27","1.78"
"Ka'Deem Carey","CHI","7","RB","3","3","0","19","0","1","0","0","100","4.67","6.33","6.33","2.67","","","","","","","","","","","","43","0","159","0","2","0","3.7","2.05","5","0.12","1","","","","","","","","","0","0","38.8","0.5","0.84"
"Andre Williams","NYG","16","RB","3","1","0","7","0","0","0","2","33.3","2","2.33","7","3","","","","","","","","","","","","88","0","257","0","1","0","2.92","1.82","7","0.08","0","","","","","","","","","0","1","33.4","0.22","0.38"
"Devonta Freeman","ATL","15","RB","92","73","1","578","0","3","0","7","79.3","2.82","6.28","7.92","6.1","","","","","","","","","","","","265","0","1057","4","12","0","3.99","2.06","36","0.14","3","","","","","","","","","0","0","326.5","0.43","0.97"
"Dri Archer","PIT","1","RB","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Jerick McKinnon","MIN","16","RB","24","21","0","173","0","1","0","1","87.5","1.5","7.21","8.24","8.52","","","","","","","","","","","","52","1","271","0","2","1","5.21","2.35","12","0.23","0","","","","","","","","","0","0","83.4","0.52","1.14"
"Terrance West","BLT","8","RB","4","4","0","21","0","0","0","0","100","0.75","5.25","5.25","4.5","","","","","","","","","","","","62","0","231","0","0","0","3.73","2.06","8","0.13","2","","","","","","","","","0","0","29.2","0.24","0.44"
"Tre Mason","SL","13","RB","20","18","0","88","0","0","0","0","90","-0.25","4.4","4.89","6.33","","","","","","","","","","","","75","0","207","0","1","0","2.76","2","11","0.15","3","","","","","","","","","0","0","53.5","0.29","0.58"
"Charles Sims","TB","16","RB","65","52","2","557","0","4","1","1","80","2.82","8.57","10.71","9.67","","","","","","","","","","","","106","1","533","0","0","0","5.03","2.77","24","0.23","2","","","","","","","","","0","0","185","0.41","1.17"
"Carlos Hyde","SF","7","RB","14","11","0","53","0","0","0","1","78.6","0.14","3.79","4.82","5.64","","","","","","","","","","","","115","0","470","1","3","0","4.09","2.83","32","0.28","1","","","","","","","","","0","0","81.3","0.28","0.65"
"Jeremy Hill","CIN","16","RB","19","15","0","79","0","1","0","3","78.9","-0.21","4.16","5.27","5.73","","","","","","","","","","","","223","0","794","0","11","0","3.56","2","24","0.11","3","","","","","","","","","1","1","174.3","0.38","0.73"
"Bishop Sankey","TEN","11","RB","21","14","0","139","0","1","0","5","66.7","-0.38","6.62","9.93","10.79","","","","","","","","","","","","47","0","193","0","1","0","4.11","2.83","8","0.17","1","","","","","","","","","0","0","59.2","0.33","0.97"
"Fozzy Whittaker","CAR","14","RB","14","12","0","64","0","0","0","1","85.7","-3.79","4.57","5.33","9.42","","","","","","","","","","","","25","0","108","0","1","0","4.32","1.88","4","0.16","0","","","","","","","","","0","0","35.2","0.23","0.95"
"Khiry Robinson","NO","8","RB","20","17","0","115","0","0","0","1","85","-1.8","5.75","6.76","8.82","","","","","","","","","","","","56","0","180","0","4","0","3.21","2.21","13","0.23","0","","","","","","","","","0","0","70.5","0.53","0.97"
"Austin Johnson","NO","9","RB","8","5","0","30","0","0","0","2","62.5","3","3.75","6","4.4","","","","","","","","","","","","4","0","9","0","1","0","2.25","1","0","0","0","","","","","","","","","0","0","14.9","0.17","1.66"
"Kendall Gaskins","SF","6","RB","10","8","0","69","0","0","0","2","80","1.7","6.9","8.63","6.38","","","","","","","","","","","","16","0","38","0","0","0","2.38","1.75","4","0.25","0","","","","","","","","","0","0","18.7","0.2","0.78"
"Cierre Wood","BUF","2","RB","1","1","0","-6","0","0","0","0","100","-6","-6","-6","0","","","","","","","","","","","","2","0","3","0","0","0","1.5","0.5","0","0","0","","","","","","","","","0","0","0.7","0.07","0.23"
"Benny Cunningham","SL","16","RB","32","26","1","250","0","0","0","3","81.3","0","7.81","9.62","9.46","","","","","","","","","","","","37","1","140","0","0","0","3.78","1.89","7","0.19","1","","","","","","","","","0","0","65","0.23","1.03"
"George Winn","DET","2","RB","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","4","0","1","0","0","0","0.25","1.5","0","0","0","","","","","","","","","0","0","0.1","0.01","0.03"
"C.J. Anderson","DEN","15","RB","31","25","0","183","0","0","0","1","80.6","2.03","5.9","7.32","5.88","","","","","","","","","","","","152","1","720","2","5","1","4.74","2.88","24","0.16","2","","","","","","","","","0","0","145.3","0.29","0.82"
"Kerwynn Williams","ARZ","5","RB","2","2","0","16","0","0","0","0","100","5.5","8","8","2.5","","","","","","","","","","","","27","0","142","0","1","0","5.26","2.07","2","0.07","1","","","","","","","","","0","0","23.8","0.46","0.82"
"Theo Riddick","DET","16","RB","94","80","0","697","0","3","0","2","85.1","0.68","7.41","8.71","8.29","","","","","","","","","","","","43","0","133","0","0","0","3.09","1.81","2","0.05","1","","","","","","","","","0","0","181","0.39","1.47"
"Spencer Ware","KC","9","RB","6","6","0","5","0","0","0","0","100","-1.67","0.83","0.83","2.5","","","","","","","","","","","","72","1","403","1","6","0","5.6","3.79","15","0.21","0","","","","","","","","","0","0","82.8","0.51","1.06"
"Andre Ellington","ARZ","10","RB","17","15","0","148","0","0","0","0","88.2","4.29","8.71","9.87","5.6","","","","","","","","","","","","45","2","289","0","3","2","6.42","2.73","3","0.07","1","","","","","","","","","0","0","76.7","0.36","1.28"
